Preferred Family Name;Preferred Given Name;National Olympic Committee;Nationality;Gender;Date of Birth;Discipline;Event
KULYNYCZ;ARKADIUSZ MARCIN;POL;POL;M;1992-12-26;WRE;Men's Greco-Roman 87kg
ARNAUDOV;TSANKO;POR;POR;M;1992-03-14;ATH;Men's Shot Put
BARATA;SAMUEL;POR;POR;M;1993-07-19;ATH;Men's Marathon
COELHO;JOAO;POR;POR;M;1999-04-04;ATH;Men's 400m
AZEVEDO;CATIA;POR;POR;F;1994-03-09;ATH;Women's 400m
BAZOLO;LORENE DORCAS;POR;POR;F;1983-05-04;ATH;Women's 200m
CA;LILIANA;POR;POR;F;1986-11-05;ATH;Women's Discus Throw
CABECINHA;ANA;POR;POR;F;1984-04-29;ATH;Women's 20km Race Walk
VANESSA;;POR;POR;F;1992-03-21;BKG;B-Girls
BAPTISTA;MESSIAS;POR;POR;M;1999-06-25;CSP;Men's Kayak Double 500m
PORTELA;TERESA;POR;POR;F;1987-10-30;CSP;Women's Kayak Single 500m
VALE;ANTONIO;POR;POR;M;1982-04-03;EQU;Dressage Individual
VALE;ANTONIO;POR;POR;M;1982-04-03;EQU;Dressage Team
CAETANO;MARIA;POR;POR;F;1986-11-07;EQU;Dressage Team
ALBUQUERQUE;GABRIEL;POR;POR;M;2006-04-09;GTR;Men
FERNANDO;JOAO;POR;POR;M;1999-11-07;JUD;Men -81 kg
AUGUSTO;THOMAS;POR;POR;M;2004-04-25;SKB;Men's Park
RIBEIRO;GUSTAVO;POR;POR;M;2001-03-27;SKB;Men's Street
NASCIMENTO;MIGUEL;POR;POR;M;1995-01-19;SWM;Men's 50m Freestyle
BORGES;NUNO;POR;POR;M;1997-02-19;TEN;Men's Singles
FREITAS;MARCOS;POR;POR;M;1988-04-08;TTE;Men's Team
YU;FU;POR;POR;F;1978-11-29;TTE;Women's Singles
RI;SE UNG;PRK;PRK;M;1998-12-22;WRE;Men's Greco-Roman 60kg
OWENS-DELERME;AYDEN;PUR;USA;M;2000-05-28;ATH;Men's Decathlon
TORRES;GLADYMAR;PUR;USA;F;2003-03-26;ATH;Women's 100m
PINEIRO;ISAIAH;PUR;USA;M;1995-02-02;BKB;Men
TORO;ARNALDO;PUR;USA;M;1997-10-28;BKB;Men
GANDIA;ADRIAN;PUR;USA;M;1997-12-19;JUD;Men -81 kg
MERCADO MARTINEZ;YARIMAR;PUR;USA;F;1995-03-12;SHO;50m Rifle 3 Positions Women
GONZALEZ;DANIEL;PUR;USA;M;1993-07-18;TTE;Men's Singles
CRUZ;DARIAN TOI;PUR;USA;M;1995-02-07;WRE;Men's Freestyle 57kg
HEMEIDA;BASSEM;QAT;QAT;M;2000-03-28;ATH;Men's 400m Hurdles
HENEIDA ABDESALAM;SEIFELDIN;QAT;QAT;M;2005-03-28;ATH;Men's Pole Vault
SAMBA;ABDERRAHMAN;QAT;QAT;M;1995-09-05;ATH;Men's 400m Hurdles
TIJAN;AHMED;QAT;QAT;M;1995-04-28;VBV;Men
MELLY;JOAN CHELIMO;ROU;ROU;F;1990-11-10;ATH;Women's Marathon
RUTTO;STELLA;ROU;ROU;F;1999-12-16;ATH;Women's 3000m Steeplechase
STANCIU;DANIELA;ROU;ROU;F;1987-10-15;ATH;Women's High Jump
NUTA;OLEG;ROU;ROU;M;1997-02-03;CSP;Men's Canoe Double 500m
CRET;ALEX;ROU;ROU;M;2002-02-09;JUD;Men -90 kg
MOLNAR;EDE-KAROLY;ROU;ROU;M;1996-03-06;MTB;Men's Cross-country
DANCIU;LAURENTIU;ROU;ROU;M;2000-03-31;ROW;Men's Four
HORODISTEANU;FLORIN BOGDAN;ROU;ROU;M;1999-04-12;ROW;Men's Quadruple Sculls
MANDRILA;ANDREI;ROU;ROU;M;2002-11-28;ROW;Men's Four
PRUNDEANU;IOAN;ROU;ROU;M;1993-01-17;ROW;Men's Quadruple Sculls
BERES;AMALIA;ROU;ROU;F;1997-06-18;ROW;Women's Eight
BERES;MADALINA;ROU;ROU;F;1993-07-03;ROW;Women's Eight
BOGDAN;LARISA;ROU;ROU;F;2002-11-05;ROW;Women's Four
BUHUS;IULIANA;ROU;ROU;F;1995-07-04;ROW;Women's Eight
PETREANU;VICTORIA STEFANIA;ROU;ROU;F;2003-01-21;ROW;Women's Eight
STANCU;VLAD STEFAN;ROU;ROU;M;2005-08-13;SWM;Men's 1500m Freestyle
SZOCS;BERNADETTE;ROU;ROU;F;1995-03-05;TTE;Mixed Doubles
GEORGESCU;VLAD-LUCA;ROU;ROU;M;1999-03-31;WPO;Men
OANTA;NICOLAE;ROU;ROU;M;1990-08-14;WPO;Men
PRIOTEASA;ANDREI;ROU;ROU;M;1996-04-03;WPO;Men
ROUX;WIAN;RSA;RSA;M;2002-10-23;ARC;Men's Individual
DAMBILE;SINESIPHO;RSA;RSA;M;2002-03-02;ATH;Men's 4 x 100m Relay
ISAACS;GARDEO;RSA;RSA;M;1998-12-27;ATH;Men's 4 x 400m Relay
MASWANGANYI;SHAUN;RSA;RSA;M;2001-02-01;ATH;Men's 200m
MASWANGANYI;SHAUN;RSA;RSA;M;2001-02-01;ATH;Men's 4 x 100m Relay
NKOANA;BRADLEY;RSA;RSA;M;2005-01-27;ATH;Men's 4 x 100m Relay
PRINSLOO;FRANCOIS;RSA;RSA;M;2001-11-11;ATH;Men's Discus Throw
SIMBINE;AKANI;RSA;RSA;M;1993-09-21;ATH;Men's 4 x 100m Relay
TSHITE;TSHEPO;RSA;RSA;M;1997-01-15;ATH;Men's 1500m
WALAZA;BAYANDA;RSA;RSA;M;2006-02-09;ATH;Men's 4 x 100m Relay
OLDKNOW;CIAN;RSA;RSA;F;1996-09-17;ATH;Women's Marathon
SCHOLTZ;JOHANITA;RSA;RSA;F;2000-01-25;BDM;Women's Singles
