Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Bronze Medal;3;08/08/2024;Osmar OLVERA IBARRA;M;Diving;DIV;Men's 3m Springboard;https://olympics.com/en/paris-2024/results/diving/men-s-3m-springboard/fnl-000100--;MEX;Mexico
Bronze Medal;3;08/11/2024;Tatiana RENTERIA RENTERIA;W;Wrestling;WRE;Women's Freestyle 76kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000200--;COL;Colombia
Silver Medal;2;08/08/2024;Nahid KIYANICHANDEH;W;Taekwondo;TKW;Women -57kg;https://olympics.com/en/paris-2024/results/taekwondo/women--57kg/fnl-000100--;IRI;IR Iran
Gold Medal;1;08/03/2024;Julien ALFRED;W;Athletics;ATH;Women's 100m;https://olympics.com/en/paris-2024/results/athletics/women-s-100m/fnl-000100--;LCA;Saint Lucia
Gold Medal;1;30/07/2024;Daniel WIFFEN;M;Swimming;SWM;Men's 800m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--;IRL;Ireland
Gold Medal;1;08/11/2024;Akhmed TAZHUDINOV;M;Wrestling;WRE;Men's Freestyle 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--;BRN;Bahrain
Gold Medal;1;08/09/2024;Imane KHELIF;W;Boxing;BOX;Women's 66kg;https://olympics.com/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--;ALG;Algeria
Bronze Medal;3;08/03/2024;Lisa BARBELIN;W;Archery;ARC;Women's Individual;https://olympics.com/en/paris-2024/results/archery/women-s-individual/fnl-000200--;FRA;France
Silver Medal;2;08/10/2024;Amir Hossein ZARE;M;Wrestling;WRE;Men's Freestyle 125kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--;IRI;IR Iran
Silver Medal;2;08/09/2024;Yeison LOPEZ;M;Weightlifting;WLF;Men's 89kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--;COL;Colombia
Bronze Medal;3;31/07/2024;David POPOVICI;M;Swimming;SWM;Men's 100m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-100m-freestyle/fnl-000100--;ROU;Romania
Bronze Medal;3;08/06/2024;Sky BROWN;W;Skateboarding;SKB;Women's Park;https://olympics.com/en/paris-2024/results/skateboarding/women-s-park/fnl-000100--;GBR;Great Britain
Silver Medal;2;08/09/2024;Hassan YAZDANICHARATI;M;Wrestling;WRE;Men's Freestyle 86kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-86kg/fnl-000100--;IRI;IR Iran
Gold Medal;1;08/08/2024;Saeid ESMAEILI LEIVESI;M;Wrestling;WRE;Men's Greco-Roman 67kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/fnl-000100--;IRI;IR Iran
Silver Medal;2;30/07/2024;Tato GRIGALASHVILI;M;Judo;JUD;Men -81 kg;https://olympics.com/en/paris-2024/results/judo/men--81-kg/fnl-000100--;GEO;Georgia
Silver Medal;2;08/09/2024;KALEYN Boryana;W;Rhythmic Gymnastics;GRY;Individual All-Around;;BUL;Bulgaria
Bronze Medal;3;08/09/2024;Serghei TARNOVSCHI;M;Canoe Sprint;CSP;Men's Canoe Single 1000m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-canoe-single-1000m/fnl---------;MDA;Republic of Moldova
Silver Medal;2;08/09/2024;Nadia BATTOCLETTI;W;Athletics;ATH;Women's 10,000m;https://olympics.com/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--;ITA;Italy
Silver Medal;2;08/01/2024;Serhiy KULISH;M;Shooting;SHO;50m Rifle 3 Positions Men;https://olympics.com/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--;UKR;Ukraine
Gold Medal;1;08/09/2024;Asadkhuja MUYDINKHUJAEV;M;Boxing;BOX;Men's 71kg;https://olympics.com/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--;UZB;Uzbekistan
Gold Medal;1;08/10/2024;Bakhodir JALOLOV;M;Boxing;BOX;Men's +92kg;https://olympics.com/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--;UZB;Uzbekistan
Bronze Medal;3;08/09/2024;Jakob SCHUBERT;M;Sport Climbing;CLB;Men's Boulder & Lead;https://olympics.com/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--;AUT;Austria
Silver Medal;2;08/10/2024;Sara AHMED;W;Weightlifting;WLF;Women's 81kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--;EGY;Egypt
Silver Medal;2;31/07/2024;Miriam BUTKEREIT;W;Judo;JUD;Women -70 kg;https://olympics.com/en/paris-2024/results/judo/women--70-kg/fnl-000100--;GER;Germany
Gold Medal;1;08/07/2024;Oleksandr KHYZHNIAK;M;Boxing;BOX;Men's 80kg;https://olympics.com/en/paris-2024/results/boxing/men-s-80kg/fnl-000100--;UKR;Ukraine
Bronze Medal;3;08/07/2024;Uzur DZHUZUPBEKOV;M;Wrestling;WRE;Men's Greco-Roman 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000200--;KGZ;Kyrgyzstan
Bronze Medal;3;08/05/2024;Zii Jia LEE;M;Badminton;BDM;Men's Singles;https://olympics.com/en/paris-2024/results/badminton/men-s-singles/fnl-000200--;MAS;Malaysia
Bronze Medal;3;08/05/2024;Johanne DEFAY;W;Surfing;SRF;Women;https://olympics.com/en/paris-2024/results/surfing/women/fnl---------;FRA;France
Silver Medal;2;08/10/2024;Julia SZEREMETA;W;Boxing;BOX;Women's 57kg;https://olympics.com/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--;POL;Poland
Bronze Medal;3;08/08/2024;KUO Hsing-Chun;W;Weightlifting;WLF;Women's 59kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-59kg/fnl-000100--;TPE;Chinese Taipei
Bronze Medal;3;08/06/2024;Buse CAVUSOGLU TOSUN;W;Wrestling;WRE;Women's Freestyle 68kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-68kg/repf000100--;TUR;Türkiye
Bronze Medal;3;08/07/2024;Gabriel Alejandro ROSILLO KINDELAN;M;Wrestling;WRE;Men's Greco-Roman 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/repf000100--;CUB;Cuba
Bronze Medal;3;08/04/2024;Iryna GERASHCHENKO;W;Athletics;ATH;Women's High Jump;https://olympics.com/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--;UKR;Ukraine
Silver Medal;2;29/07/2024;Victor LINDGREN;M;Shooting;SHO;10m Air Rifle Men;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--;SWE;Sweden
Bronze Medal;3;08/11/2024;SEONG Seungmin;W;Modern Pentathlon;MPN;Women's Individual;https://olympics.com/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--;KOR;Korea
Gold Medal;1;08/03/2024;Markus ROOTH;M;Athletics;ATH;Men's Decathlon;https://olympics.com/en/paris-2024/results/athletics/men-s-decathlon/1500--------;NOR;Norway
Gold Medal;1;08/10/2024;Solfrid Eila Amena KOANDA;W;Weightlifting;WLF;Women's 81kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--;NOR;Norway
Bronze Medal;3;08/08/2024;Turpal Ali BISULTANOV;M;Wrestling;WRE;Men's Greco-Roman 87kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/repf000200--;DEN;Denmark
Gold Medal;1;08/08/2024;Ulugbek RASHITOV;M;Taekwondo;TKW;Men -68kg;https://olympics.com/en/paris-2024/results/taekwondo/men--68kg/fnl-000100--;UZB;Uzbekistan
Bronze Medal;3;29/07/2024;Miran MARICIC;M;Shooting;SHO;10m Air Rifle Men;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--;CRO;Croatia
Bronze Medal;3;08/04/2024;Felix LEBRUN;M;Table Tennis;TTE;Men's Singles;https://olympics.com/en/paris-2024/results/table-tennis/men-s-singles/fnl-000200--;FRA;France
Gold Medal;1;08/05/2024;AN Se Young;W;Badminton;BDM;Women's Singles;https://olympics.com/en/paris-2024/results/badminton/women-s-singles/fnl-000100--;KOR;Korea
Silver Medal;2;08/09/2024;ANRAKU Sorato;M;Sport Climbing;CLB;Men's Boulder & Lead;https://olympics.com/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--;JPN;Japan
Bronze Medal;3;08/10/2024;Nikola OGRODNIKOVA;W;Athletics;ATH;Women's Javelin Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--;CZE;Czechia
Bronze Medal;3;08/07/2024;Cyrian RAVET;M;Taekwondo;TKW;Men -58kg;https://olympics.com/en/paris-2024/results/taekwondo/men--58kg/repf000100--;FRA;France
Gold Medal;1;29/07/2024;BAN Hyojin;W;Shooting;SHO;10m Air Rifle Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--;KOR;Korea
Gold Medal;1;08/02/2024;Joris DAUDET;M;Cycling BMX Racing;BMX;Men;https://olympics.com/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--;FRA;France
Gold Medal;1;28/07/2024;Pauline FERRAND PREVOT;W;Cycling Mountain Bike;MTB;Women's Cross-country;https://olympics.com/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--;FRA;France
Bronze Medal;3;08/05/2024;Kimberley WOODS;W;Canoe Slalom;CSL;Women's Kayak Cross;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------;GBR;Great Britain
Gold Medal;1;08/09/2024;VARFOLOMEEV Darja;W;Rhythmic Gymnastics;GRY;Individual All-Around;;GER;Germany
Silver Medal;2;08/05/2024;Illia KOVTUN;M;Artistic Gymnastics;GAR;Men's Parallel Bars;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--;UKR;Ukraine
Bronze Medal;3;29/07/2024;Olga KHARLAN;W;Fencing;FEN;Women's Sabre Individual;https://olympics.com/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--;UKR;Ukraine
Silver Medal;2;08/08/2024;Weeraphon WICHUMA;M;Weightlifting;WLF;Men's 73kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-73kg/fnl-000100--;THA;Thailand
Gold Medal;1;08/09/2024;Marileidy PAULINO;W;Athletics;ATH;Women's 400m;https://olympics.com/en/paris-2024/results/athletics/women-s-400m/fnl-000100--;DOM;Dominican Republic
Gold Medal;1;28/07/2024;YOSHIZAWA Coco;W;Skateboarding;SKB;Women's Street;https://olympics.com/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--;JPN;Japan
